epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.423,1.58432,2.51245,1.29876,0.85214,0.74892,0.84523,0.42865,1.53218,1.30128,1.22874,0.003332,0.003332,0.003332
2,612.345,1.62389,1.47865,1.31842,0.81567,0.69218,0.78145,0.40123,1.58732,1.22564,1.26589,0.00659934,0.00659934,0.00659934
3,987.654,1.70532,1.48512,1.39876,0.76845,0.64218,0.71892,0.37189,1.66548,1.43892,1.34987,0.00980069,0.00980069,0.00980069
4,1301.234,1.74583,1.47689,1.43865,0.82789,0.71245,0.81542,0.42187,1.55892,1.16834,1.31045,0.009703,0.009703,0.009703
5,1598.765,1.67892,1.36542,1.39812,0.87234,0.77218,0.85128,0.46542,1.50765,1.04218,1.25876,0.009604,0.009604,0.009604
6,1865.432,1.63245,1.27218,1.36089,0.84321,0.78245,0.85167,0.48765,1.45678,1.03945,1.23098,0.009505,0.009505,0.009505
7,2176.543,1.59234,1.21245,1.34218,0.89765,0.80987,0.88542,0.50567,1.41423,0.92876,1.21892,0.009406,0.009406,0.009406
8,2687.654,1.56542,1.16987,1.32689,0.91456,0.82965,0.89923,0.52045,1.42987,0.89342,1.19945,0.009307,0.009307,0.009307
9,3198.765,1.53876,1.12345,1.30389,0.91423,0.83487,0.91587,0.53812,1.38412,0.85234,1.19234,0.009208,0.009208,0.009208
10,3698.543,1.52045,1.08923,1.28845,0.93567,0.83745,0.92218,0.55023,1.35178,0.81623,1.15678,0.009109,0.009109,0.009109
11,4210.987,1.49765,1.05123,1.27123,0.88045,0.89012,0.92689,0.55765,1.33567,0.79512,1.14987,0.00901,0.00901,0.00901
12,4754.321,1.48321,1.03456,1.27045,0.92567,0.87789,0.93423,0.55234,1.32489,0.78045,1.13456,0.008911,0.008911,0.008911
