epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2537.82,1.87755,2.28362,1.53413,0.65094,0.44888,0.48175,0.23628,2.04282,2.18465,1.77793,0.000665333,0.000665333,0.000665333
2,12154.3,2.00745,1.91975,1.68046,0.70678,0.45636,0.50524,0.23079,1.98659,2.16985,1.69033,0.00131881,0.00131881,0.00131881
3,14240.2,1.96486,1.91158,1.67182,0.77892,0.52716,0.61497,0.295,1.86393,1.75991,1.63092,0.00195909,0.00195909,0.00195909
4,3486.3,1.90623,1.82819,1.61834,0.74565,0.57357,0.65063,0.31259,1.81179,1.67238,1.51698,0.0019406,0.0019406,0.0019406
5,5639.8,1.83092,1.6655,1.55751,0.78129,0.59685,0.65339,0.31952,1.71957,1.54679,1.44869,0.0019208,0.0019208,0.0019208
6,7634.43,1.77905,1.564,1.50544,0.82179,0.62594,0.74968,0.37954,1.70502,1.39833,1.43833,0.001901,0.001901,0.001901
7,9623.82,1.77423,1.53342,1.50312,0.78247,0.65586,0.73748,0.35898,1.67294,1.40956,1.46577,0.0018812,0.0018812,0.0018812
8,11614.9,1.74089,1.51398,1.46258,0.78233,0.71072,0.76184,0.38257,1.61837,1.33706,1.3671,0.0018614,0.0018614,0.0018614
9,13606.9,1.72218,1.43178,1.45205,0.85701,0.63342,0.78507,0.40911,1.62722,1.24775,1.41473,0.0018416,0.0018416,0.0018416
10,15692.5,1.71052,1.41421,1.43603,0.72223,0.70823,0.69881,0.35684,1.68291,1.32919,1.41982,0.0018218,0.0018218,0.0018218
11,17733.5,1.65113,1.3518,1.42267,0.88255,0.7207,0.82276,0.42637,1.62043,1.18234,1.35515,0.001802,0.001802,0.001802
12,19733.7,1.64115,1.31981,1.42026,0.88137,0.7182,0.83014,0.42502,1.6054,1.13699,1.39968,0.0017822,0.0017822,0.0017822
13,21721.1,1.65029,1.30523,1.40682,0.86739,0.76663,0.85687,0.45726,1.54602,1.13885,1.35085,0.0017624,0.0017624,0.0017624
14,23711.3,1.6052,1.24814,1.39048,0.81743,0.74813,0.81974,0.4348,1.57436,1.1491,1.36295,0.0017426,0.0017426,0.0017426
15,25702.8,1.61898,1.25159,1.39824,0.92468,0.81546,0.89066,0.47531,1.52534,1.05812,1.33176,0.0017228,0.0017228,0.0017228
16,27692.7,1.60122,1.23006,1.3671,0.91963,0.79896,0.89182,0.48498,1.51499,1.01276,1.30069,0.001703,0.001703,0.001703
17,29686.7,1.58941,1.21523,1.37237,0.8701,0.75561,0.84548,0.45187,1.59028,1.17799,1.32802,0.0016832,0.0016832,0.0016832
18,31679.1,1.59757,1.20827,1.36935,0.87559,0.78982,0.86095,0.4496,1.56989,1.06061,1.35057,0.0016634,0.0016634,0.0016634
19,33669.3,1.56241,1.16898,1.35335,0.8948,0.82793,0.89447,0.50015,1.47205,1.00066,1.30385,0.0016436,0.0016436,0.0016436
20,35659.4,1.5365,1.13103,1.33291,0.89016,0.86284,0.89848,0.48199,1.50227,0.9698,1.29628,0.0016238,0.0016238,0.0016238
21,37655.3,1.55433,1.12438,1.34269,0.89555,0.83386,0.89309,0.48548,1.50056,0.96511,1.28871,0.001604,0.001604,0.001604
22,39648.9,1.54516,1.13491,1.34627,0.89805,0.82544,0.88803,0.47759,1.51872,0.95658,1.30061,0.0015842,0.0015842,0.0015842
23,41662.6,1.5309,1.0886,1.31786,0.88538,0.85037,0.90613,0.50705,1.49432,0.93239,1.29003,0.0015644,0.0015644,0.0015644
24,43666.1,1.51776,1.11136,1.3397,0.88909,0.81964,0.88405,0.48506,1.53563,0.93313,1.342,0.0015446,0.0015446,0.0015446
25,45659.3,1.49894,1.04867,1.31165,0.90272,0.82544,0.89755,0.51092,1.48412,0.95579,1.29231,0.0015248,0.0015248,0.0015248
26,47647.5,1.49864,1.07365,1.3221,0.909,0.84698,0.8863,0.49984,1.44445,0.90319,1.25492,0.001505,0.001505,0.001505
27,49637,1.48576,1.05127,1.3197,0.91148,0.84539,0.90909,0.5176,1.48687,0.90261,1.28422,0.0014852,0.0014852,0.0014852
28,51627.5,1.49779,1.04168,1.31088,0.89543,0.83541,0.90385,0.50181,1.46105,0.95002,1.27846,0.0014654,0.0014654,0.0014654
29,53619.5,1.4757,1.02111,1.29999,0.88995,0.86717,0.90737,0.48914,1.48602,0.93854,1.27087,0.0014456,0.0014456,0.0014456
30,55609.5,1.46016,1.02674,1.29245,0.92571,0.84289,0.92451,0.5165,1.45197,0.88324,1.25346,0.0014258,0.0014258,0.0014258
31,2602.77,1.45127,0.99909,1.28293,0.90899,0.83791,0.91159,0.52223,1.42044,0.86668,1.26253,0.001406,0.001406,0.001406
32,4630.54,1.45211,0.98874,1.28426,0.91058,0.89526,0.93834,0.52727,1.4536,0.81798,1.28633,0.0013862,0.0013862,0.0013862
33,6655.87,1.44012,0.9865,1.27803,0.92721,0.85768,0.9302,0.53445,1.43506,0.83883,1.27877,0.0013664,0.0013664,0.0013664
34,8686.25,1.43612,0.9858,1.28167,0.90813,0.86534,0.91954,0.52467,1.42031,0.85248,1.24535,0.0013466,0.0013466,0.0013466
35,10713.8,1.42572,0.97008,1.26745,0.91081,0.89129,0.92796,0.52884,1.41967,0.81512,1.23248,0.0013268,0.0013268,0.0013268
36,2536.29,1.36845,0.90155,1.25191,0.90736,0.87032,0.93593,0.54928,1.42983,0.78692,1.28659,0.001307,0.001307,0.001307
37,4619.5,1.34877,0.8659,1.24136,0.91331,0.87282,0.91732,0.5355,1.40947,0.80642,1.25533,0.0012872,0.0012872,0.0012872
38,6700.57,1.34057,0.87372,1.23121,0.90478,0.87282,0.92991,0.535,1.41119,0.76227,1.25887,0.0012674,0.0012674,0.0012674
39,8781.47,1.33976,0.86869,1.24345,0.92442,0.88451,0.93297,0.53657,1.43295,0.78514,1.25173,0.0012476,0.0012476,0.0012476
40,10861.2,1.33676,0.86375,1.23389,0.9458,0.87282,0.94219,0.5421,1.40938,0.75805,1.24779,0.0012278,0.0012278,0.0012278
41,12947.9,1.40804,0.91674,1.27133,0.92848,0.87415,0.93519,0.53626,1.41286,0.77755,1.25412,0.001208,0.001208,0.001208
42,15024.9,1.42022,0.91783,1.26648,0.92106,0.90202,0.94346,0.54587,1.38615,0.74613,1.23703,0.0011882,0.0011882,0.0011882
43,17104.6,1.37233,0.88687,1.25374,0.9388,0.88529,0.93875,0.54669,1.40289,0.75386,1.2285,0.0011684,0.0011684,0.0011684
44,19187.4,1.36295,0.88249,1.24373,0.95565,0.91347,0.94914,0.56108,1.40221,0.72459,1.227,0.0011486,0.0011486,0.0011486
45,21268.4,1.38338,0.89747,1.24271,0.9213,0.90505,0.93999,0.55246,1.39477,0.73731,1.23026,0.0011288,0.0011288,0.0011288
46,23347.6,1.34528,0.87189,1.23378,0.9475,0.90005,0.94114,0.56809,1.36815,0.74959,1.21986,0.001109,0.001109,0.001109
47,25428.4,1.36515,0.87933,1.249,0.92844,0.90598,0.95103,0.55794,1.39331,0.74569,1.22617,0.0010892,0.0010892,0.0010892
48,27509.2,1.35042,0.85063,1.21931,0.93088,0.89027,0.94621,0.56651,1.35954,0.74182,1.20611,0.0010694,0.0010694,0.0010694
49,29582,1.34762,0.85622,1.23636,0.90609,0.91521,0.94453,0.56715,1.38295,0.72969,1.21107,0.0010496,0.0010496,0.0010496
50,2083.06,1.27971,0.81797,1.20774,0.94427,0.92519,0.95284,0.57843,1.34324,0.72283,1.21147,0.0010298,0.0010298,0.0010298
51,4156.94,1.25834,0.78368,1.19363,0.93998,0.89027,0.94491,0.56222,1.35137,0.702,1.20184,0.00101,0.00101,0.00101
52,6226.72,1.25477,0.78529,1.17915,0.92258,0.89027,0.9426,0.57004,1.33748,0.71068,1.19007,0.0009902,0.0009902,0.0009902
53,8298.32,1.24465,0.76619,1.18783,0.93572,0.90755,0.95219,0.57857,1.33952,0.68853,1.17855,0.0009704,0.0009704,0.0009704
54,10371.5,1.24242,0.77086,1.18258,0.95011,0.90238,0.95494,0.57135,1.34995,0.71207,1.19333,0.0009506,0.0009506,0.0009506
55,12445,1.27269,0.77719,1.19003,0.9455,0.93017,0.95522,0.57668,1.33031,0.68688,1.18587,0.0009308,0.0009308,0.0009308
56,14523.6,1.28143,0.78376,1.19351,0.9209,0.93766,0.96049,0.58811,1.33094,0.67866,1.18507,0.000911,0.000911,0.000911
57,2252.79,1.18236,0.71855,1.14536,0.94977,0.92519,0.96737,0.59298,1.32768,0.6729,1.20454,0.0008912,0.0008912,0.0008912
58,4360.33,1.16284,0.69218,1.14505,0.93695,0.9265,0.95741,0.59636,1.32439,0.64047,1.19524,0.0008714,0.0008714,0.0008714
59,6426.12,1.15223,0.68822,1.13184,0.94025,0.90524,0.94947,0.58743,1.31414,0.67548,1.18739,0.0008516,0.0008516,0.0008516
60,8501.86,1.1419,0.67989,1.13304,0.94176,0.92748,0.9598,0.58991,1.32857,0.64124,1.17527,0.0008318,0.0008318,0.0008318
61,10570.4,1.14941,0.69563,1.13192,0.9502,0.90399,0.95155,0.59246,1.32065,0.65194,1.18252,0.000812,0.000812,0.000812
