epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,769.838,1.59899,2.3742,1.39124,0.86868,0.77532,0.8583,0.44255,1.54266,1.20577,1.31986,0.003332,0.003332,0.003332
2,1253.78,1.624,1.48165,1.42007,0.88853,0.71072,0.82664,0.43524,1.60308,1.15228,1.38474,0.00659934,0.00659934,0.00659934
3,1724.09,1.70001,1.47507,1.49052,0.78593,0.6783,0.76117,0.41748,1.61288,1.28166,1.47565,0.00980069,0.00980069,0.00980069
4,2194.97,1.72987,1.48964,1.52181,0.85078,0.69668,0.79702,0.43001,1.60198,1.22369,1.44601,0.009703,0.009703,0.009703
5,2673.96,1.66528,1.36351,1.50464,0.88735,0.80535,0.87601,0.49376,1.49048,1.00414,1.35815,0.009604,0.009604,0.009604
6,3136.24,1.61514,1.26037,1.44949,0.86872,0.83042,0.89587,0.51195,1.4644,0.95926,1.30432,0.009505,0.009505,0.009505
7,3599.58,1.57659,1.20143,1.43119,0.86383,0.85425,0.90392,0.52422,1.41456,0.88831,1.30212,0.009406,0.009406,0.009406
8,4064.22,1.54711,1.15555,1.42162,0.90345,0.85536,0.91458,0.53067,1.42646,0.85914,1.27885,0.009307,0.009307,0.009307
9,4527.55,1.53143,1.1171,1.41579,0.92424,0.85037,0.92021,0.54094,1.38786,0.83581,1.27916,0.009208,0.009208,0.009208
10,4997.88,1.50604,1.08948,1.39127,0.94343,0.87335,0.92603,0.55971,1.35418,0.80492,1.26672,0.009109,0.009109,0.009109
11,5467.2,1.48822,1.05546,1.38335,0.96008,0.89776,0.95128,0.58661,1.31764,0.72795,1.22578,0.00901,0.00901,0.00901
12,5930.88,1.47853,1.03916,1.38319,0.92712,0.90524,0.94628,0.58182,1.33672,0.734,1.23074,0.008911,0.008911,0.008911
13,6396.85,1.47085,1.01882,1.36996,0.96075,0.88778,0.95071,0.58535,1.28117,0.72929,1.20713,0.008812,0.008812,0.008812
14,6854.96,1.45805,1.00128,1.36074,0.9502,0.90413,0.94536,0.58244,1.29157,0.69444,1.21891,0.008713,0.008713,0.008713
15,7317.39,1.43875,0.97053,1.34833,0.93405,0.93017,0.9571,0.61397,1.27235,0.67245,1.19375,0.008614,0.008614,0.008614
16,7779.45,1.43446,0.95935,1.34194,0.94754,0.91771,0.95678,0.61681,1.247,0.6591,1.17325,0.008515,0.008515,0.008515
17,8243.94,1.42695,0.94855,1.34152,0.94726,0.92519,0.95586,0.61629,1.24597,0.65827,1.18073,0.008416,0.008416,0.008416
18,8715.9,1.41065,0.93755,1.33523,0.95893,0.93017,0.96617,0.62371,1.24954,0.65126,1.1905,0.008317,0.008317,0.008317
19,9178.21,1.40924,0.92875,1.32988,0.95739,0.92519,0.96473,0.62461,1.23673,0.61914,1.1743,0.008218,0.008218,0.008218
20,9643.31,1.39304,0.90883,1.31583,0.95122,0.93766,0.96154,0.62285,1.23831,0.60885,1.16762,0.008119,0.008119,0.008119
21,10109.6,1.3855,0.91035,1.3197,0.9462,0.94763,0.96809,0.6359,1.19961,0.60747,1.15779,0.00802,0.00802,0.00802
22,10573.3,1.38729,0.90134,1.317,0.94208,0.92519,0.96772,0.63413,1.21393,0.62012,1.15735,0.007921,0.007921,0.007921
23,11038.3,1.36769,0.8856,1.30313,0.96029,0.95511,0.96839,0.63557,1.20065,0.59017,1.13449,0.007822,0.007822,0.007822
24,11499.9,1.36954,0.88306,1.30153,0.95017,0.95099,0.97103,0.63568,1.19509,0.58927,1.15119,0.007723,0.007723,0.007723
25,11966.9,1.37119,0.88185,1.30608,0.9592,0.93812,0.96981,0.64408,1.18374,0.58355,1.13787,0.007624,0.007624,0.007624
26,12442.8,1.35614,0.86202,1.28695,0.97916,0.93741,0.97359,0.64068,1.16869,0.57981,1.12271,0.007525,0.007525,0.007525
27,12909.8,1.35825,0.85634,1.29617,0.95951,0.94549,0.96825,0.65094,1.15744,0.56853,1.12055,0.007426,0.007426,0.007426
28,13372,1.35479,0.85279,1.2938,0.96908,0.94015,0.97014,0.65936,1.14345,0.56127,1.10652,0.007327,0.007327,0.007327
29,13837.5,1.34918,0.8465,1.28552,0.96236,0.9565,0.97466,0.66376,1.14558,0.55259,1.10432,0.007228,0.007228,0.007228
30,14302.8,1.3392,0.84188,1.28873,0.96968,0.95717,0.97854,0.66346,1.14307,0.55283,1.10741,0.007129,0.007129,0.007129
31,14765.3,1.33606,0.837,1.27916,0.96723,0.95686,0.97942,0.66736,1.13797,0.53622,1.10214,0.00703,0.00703,0.00703
32,15227.9,1.33239,0.82445,1.28246,0.96839,0.95511,0.98008,0.66868,1.13606,0.5328,1.09885,0.006931,0.006931,0.006931
33,15702,1.32161,0.81653,1.27173,0.97469,0.9602,0.98166,0.66693,1.14218,0.53019,1.10603,0.006832,0.006832,0.006832
34,16166.4,1.32153,0.81433,1.27362,0.97246,0.96509,0.98171,0.66665,1.13032,0.52431,1.09554,0.006733,0.006733,0.006733
35,16628.3,1.32228,0.81706,1.2771,0.97218,0.95854,0.98181,0.67052,1.12548,0.52074,1.09496,0.006634,0.006634,0.006634
36,17091.2,1.31808,0.80989,1.26456,0.97182,0.9601,0.98085,0.67396,1.11915,0.51801,1.09223,0.006535,0.006535,0.006535
37,17551.9,1.30933,0.80256,1.26579,0.97238,0.95511,0.97776,0.67806,1.11254,0.51798,1.08967,0.006436,0.006436,0.006436
38,18009.8,1.31217,0.79395,1.26754,0.96085,0.96259,0.97937,0.67909,1.11147,0.51825,1.08834,0.006337,0.006337,0.006337
39,18466.4,1.29999,0.77997,1.26033,0.96749,0.9601,0.97798,0.67886,1.10804,0.512,1.08488,0.006238,0.006238,0.006238
40,18929.7,1.30731,0.79045,1.25959,0.97525,0.9601,0.98031,0.67969,1.10355,0.50934,1.0789,0.006139,0.006139,0.006139
41,19401.5,1.30031,0.78758,1.26472,0.97553,0.96259,0.98345,0.68168,1.09785,0.50586,1.07618,0.00604,0.00604,0.00604
42,19865.6,1.28607,0.76844,1.24903,0.97479,0.96432,0.98402,0.68332,1.09658,0.50359,1.07438,0.005941,0.005941,0.005941
43,20325.7,1.29412,0.76895,1.25596,0.97089,0.96758,0.98382,0.68594,1.09362,0.50468,1.07291,0.005842,0.005842,0.005842
44,20787.2,1.29233,0.77334,1.25209,0.97022,0.9749,0.98419,0.68552,1.09114,0.50176,1.07092,0.005743,0.005743,0.005743
45,21248.3,1.28273,0.76854,1.25237,0.97025,0.97604,0.98421,0.68584,1.0898,0.50123,1.06876,0.005644,0.005644,0.005644
46,21711.9,1.26654,0.74711,1.23906,0.97037,0.97007,0.98458,0.68687,1.08643,0.49727,1.06686,0.005545,0.005545,0.005545
47,22174.6,1.27253,0.74789,1.24281,0.97978,0.96691,0.9846,0.68609,1.08596,0.49545,1.0665,0.005446,0.005446,0.005446
48,22638,1.26233,0.74204,1.23672,0.9823,0.96882,0.98459,0.68762,1.08331,0.49355,1.06463,0.005347,0.005347,0.005347
49,23104.3,1.26075,0.7384,1.23621,0.9823,0.96885,0.98513,0.68993,1.08271,0.49133,1.06353,0.005248,0.005248,0.005248
50,23572.2,1.26207,0.73968,1.23538,0.98126,0.96758,0.9854,0.68959,1.08082,0.48909,1.06251,0.005149,0.005149,0.005149
51,24033.9,1.26256,0.73267,1.23357,0.98184,0.96758,0.98545,0.6898,1.08202,0.48816,1.06342,0.00505,0.00505,0.00505
52,24495.6,1.25771,0.73435,1.22845,0.98227,0.96721,0.98551,0.69018,1.08118,0.48586,1.06361,0.004951,0.004951,0.004951
53,24957.3,1.2478,0.72824,1.22847,0.98227,0.96707,0.98578,0.69006,1.07959,0.48401,1.06268,0.004852,0.004852,0.004852
54,25423.5,1.25359,0.72215,1.23259,0.97984,0.96983,0.98576,0.69189,1.07901,0.48181,1.06272,0.004753,0.004753,0.004753
55,25882.8,1.25196,0.72306,1.23488,0.97915,0.97007,0.98588,0.6934,1.07797,0.48271,1.06217,0.004654,0.004654,0.004654
56,26345.2,1.24194,0.72149,1.21938,0.97857,0.97007,0.98573,0.69386,1.07717,0.48056,1.06179,0.004555,0.004555,0.004555
57,26811.9,1.23631,0.71097,1.2205,0.9799,0.97244,0.98572,0.69385,1.07643,0.47897,1.06188,0.004456,0.004456,0.004456
58,27278.6,1.22666,0.70719,1.21693,0.97986,0.9706,0.98564,0.69523,1.07644,0.47761,1.06109,0.004357,0.004357,0.004357
59,27739.3,1.23668,0.71341,1.21964,0.97986,0.9708,0.98569,0.6963,1.07336,0.47616,1.05936,0.004258,0.004258,0.004258
60,28205.2,1.2286,0.7055,1.21008,0.97989,0.97195,0.98559,0.69618,1.07267,0.4757,1.05879,0.004159,0.004159,0.004159
61,28669.4,1.22123,0.69386,1.20884,0.97987,0.97127,0.98563,0.69483,1.07223,0.4751,1.05884,0.00406,0.00406,0.00406
62,29128.9,1.21985,0.69288,1.20912,0.97988,0.97159,0.98554,0.69657,1.07244,0.47513,1.05808,0.003961,0.003961,0.003961
63,29591.1,1.21574,0.68776,1.20427,0.97988,0.97172,0.98575,0.69732,1.0718,0.47498,1.05732,0.003862,0.003862,0.003862
64,30065.6,1.20803,0.68605,1.20567,0.97988,0.9714,0.98579,0.69775,1.07088,0.473,1.05664,0.003763,0.003763,0.003763
65,30528.5,1.2091,0.67733,1.20712,0.97988,0.97158,0.98579,0.69968,1.06877,0.47337,1.05657,0.003664,0.003664,0.003664
66,30999.1,1.20744,0.67953,1.19544,0.97988,0.97158,0.98576,0.69951,1.06879,0.47142,1.05663,0.003565,0.003565,0.003565
67,31463.3,1.20253,0.67208,1.19781,0.97991,0.97316,0.98539,0.70039,1.06674,0.47245,1.05608,0.003466,0.003466,0.003466
